Model,Overall_Accuracy,Macro_F1,Weighted_F1,pro_public_Precision,pro_public_Recall,pro_public_F1,pro_public_Accuracy,pro_private_Precision,pro_private_Recall,pro_private_F1,pro_private_Accuracy,neutral_Precision,neutral_Recall,neutral_F1,neutral_Accuracy,pro_public_Support
SVM,0.9004,0.8996,0.9007,0.949,0.8942,0.9208,0.8942,0.867,0.8859,0.8763,0.8859,0.8893,0.9146,0.9018,0.9146,208
Random Forest,0.7578,0.7442,0.7532,0.9459,0.6731,0.7865,0.6731,0.7379,0.5815,0.6505,0.5815,0.6921,0.9359,0.7958,0.9359,208
XGBoost,0.8291,0.8255,0.8296,0.9058,0.8317,0.8672,0.8317,0.7594,0.7717,0.7655,0.7717,0.8237,0.8648,0.8438,0.8648,208
BiLSTM,0.8886,0.8877,0.8889,0.9175,0.9087,0.913,0.9087,0.8325,0.8913,0.8609,0.8913,0.9074,0.8719,0.8893,0.8719,208
BanglaBERT + XGBoost,0.9123,0.9128,0.9127,0.9648,0.9231,0.9435,0.9231,0.8743,0.9076,0.8907,0.9076,0.9011,0.9075,0.9043,0.9075,208
