Rank,Model,Parameters,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
1,Qwen2.5-7B-Instruct,7B,0.9122348154606219,0.9109880088927108,0.9138782122874959,0.9122407032843465,0.9127035314938358,0.9122348154606219,0.9122688274650078
2,Llama-3.1-8B-Instruct,8B,0.8962510897994769,0.8948192682359452,0.8988429077259776,0.8966178235202218,0.896642412619358,0.8962510897994769,0.8962312549158443
3,Mistral-7B-Instruct-v0.3,7B,0.8840453356582388,0.8824766880367907,0.8880584424460994,0.8848552411170241,0.8846629048639831,0.8840453356582388,0.8839326675212794
4,Gemma-2-9B-IT,9B,0.8712583551293229,0.8695615638326926,0.8754621381398316,0.8720620497653738,0.8719310685358295,0.8712583551293229,0.8711255133578906
5,Llama-3.2-3B-Instruct,3B,0.8471374600406858,0.8457860329094448,0.8515189907978559,0.8482329404852248,0.8476646801773764,0.8471374600406858,0.8469623021378585
